id,registration_date,name,surname,country_id,is_test,date_of_birth,gender,city
1,2025-11-26,Alex,Duczmal,4,false,1952-01-15,M,Koło
2,2026-04-13,Róża,Dreszer,2,false,1965-07-11,F,Chorzów
3,2025-12-11,Leonard,Kazek,2,false,1996-05-21,M,Koło
4,2025-10-27,Jeremi,Rej,1,false,1990-07-09,M,Świdnik
5,2025-12-28,Kacper,Glapiak,5,false,1956-09-17,M,Stargard Szczeciński
6,2026-04-05,Adrianna,Soroko,4,false,1991-04-22,F,Szczecin
7,2025-10-21,Konstanty,Straszak,5,false,1999-01-23,M,Zakopane
8,2026-02-25,Nataniel,Roter,2,false,1978-11-20,M,Siemianowice Śląskie
9,2026-03-19,Nela,Kołata,2,false,1969-04-08,F,Kraków
10,2025-11-29,Elżbieta,Ludwisiak,1,false,1961-03-15,F,Sandomierz
11,2026-03-12,Bruno,Kiliszek,3,false,1969-03-31,M,Grudziądz
12,2025-11-23,Dominik,Bryda,3,false,1973-03-30,M,Dąbrowa Górnicza
13,2026-03-05,Klara,Cukier,2,false,1956-12-01,F,Tarnobrzeg
14,2025-11-11,Malwina,Halik,4,false,1968-05-03,F,Gdynia
15,2026-03-25,Anita,Klupś,3,false,1986-10-30,F,Wałbrzych
16,2025-11-28,Ada,Fiołek,1,false,1987-11-27,F,Pruszków
17,2025-12-08,Jędrzej,Łakota,1,false,1974-12-12,M,Łuków
18,2025-11-24,Patryk,Stochel,4,false,1955-01-26,M,Gdynia
19,2025-11-06,Kornel,Mak,3,false,2002-12-11,M,Ełk
20,2026-04-10,Maciej,Nesterowicz,5,false,1966-03-07,M,Tychy
21,2026-01-01,Rafał,Cywka,2,false,1981-03-11,M,Kłodzko
22,2026-02-08,Karina,Przewoźnik,4,false,1975-07-12,F,Skierniewice
23,2025-10-29,Sara,Mydlak,2,false,1968-07-03,F,Bartoszyce
24,2026-03-02,Cyprian,Skolik,1,false,1955-03-13,M,Krotoszyn
25,2026-02-13,Alex,Bors,3,false,1986-09-08,M,Kościerzyna
26,2026-03-24,Aniela,Gierak,1,false,1981-10-17,F,Kołobrzeg
27,2026-04-15,Łukasz,Fita,3,false,1997-03-02,M,Oława
28,2025-11-10,Kamil,Buszta,4,true,1972-05-28,M,Płońsk
29,2026-02-06,Tobiasz,Wołczyk,2,false,1965-12-04,M,Lublin
30,2026-03-10,Tola,Piotrowiak,3,false,1977-08-21,F,Żory
31,2025-11-09,Kalina,Hajdukiewicz,3,false,1988-12-07,F,Jawor
32,2026-03-03,Natasza,Fydrych,3,false,1994-12-10,F,Olkusz
33,2026-01-01,Marika,Piekart,3,false,1994-01-31,F,Knurów
34,2026-02-23,Marianna,Zygmuntowicz,1,false,1959-11-03,F,Leszno
35,2026-04-27,Mariusz,Wyrwał,1,false,1987-01-06,M,Łomża
36,2025-11-02,Aurelia,Prokopiak,4,false,1979-06-29,F,Śrem
37,2025-12-07,Marika,Mikita,5,false,1965-04-06,F,Chorzów
38,2025-11-24,Juliusz,Kołtuniak,5,false,1956-07-10,M,Polkowice
39,2026-04-01,Olga,Schwarz,3,false,1957-10-19,F,Grudziądz
40,2026-01-21,Jędrzej,Chmielak,5,false,2004-03-28,M,Pszczyna
41,2025-11-27,Sonia,Wlazły,1,false,1954-08-29,F,Kutno
42,2026-02-28,Ada,Andrys,2,true,1982-03-10,F,Police
43,2025-11-28,Agnieszka,Jędrys,1,false,1951-02-13,F,Pszczyna
44,2025-10-19,Olgierd,Koral,5,false,1996-09-23,M,Iława
45,2025-11-24,Albert,Sadura,5,false,2002-08-22,M,Nowy Dwór Mazowiecki
46,2025-12-02,Alan,Duczmal,4,false,1970-04-23,M,Oświęcim
47,2025-10-25,Kornelia,Chalimoniuk,1,false,1950-07-23,F,Kościan
48,2026-01-17,Olgierd,Powała,4,false,1984-05-27,M,Zambrów
49,2026-03-22,Justyna,Jędraszczyk,1,false,1957-07-30,F,Gorlice
50,2026-04-23,Krystian,Skocz,1,false,1993-10-26,M,Cieszyn
51,2026-02-15,Rozalia,Straszak,4,false,1960-09-26,F,Rumia
52,2025-12-11,Elżbieta,Jarema,4,false,1987-01-16,F,Środa Wielkopolska
53,2026-01-22,Angelika,Dzienis,5,false,1991-02-04,F,Ostrołęka
54,2025-10-24,Ida,Kwoka,2,false,1957-12-13,F,Skarżysko-Kamienna
55,2026-02-01,Marcin,Gogacz,2,false,1954-04-12,M,Zamość
56,2025-11-12,Ewelina,Fiołek,4,true,1956-03-01,F,Nowa Ruda
57,2025-12-07,Andrzej,Stoltmann,4,false,1955-01-18,M,Lubartów
58,2025-11-09,Cezary,Szajner,2,false,1958-11-23,M,Zielona Góra
